,aff_no,age,Act1,Act2,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,roomate,famrel,freetime,goout,Dalc,Walc,health,absences,hindi_mrk(10),eng_mrk(10),socil_mrk(10),sci_mrk(10),skt_mrk(10),math_mrk(10),perc(total_avg),site_sel,G1_11F,G2 _11S,G3_12,SugSite,NewSite
21,1730187.0,15.0,4.0,4.0,1.0,1.0,0.0,0,1,1,,,,,,5.0,4.0,2.0,1.0,1.0,5.0,0.0,85.0,13.0,40.0,18.0,17.0,35.0,34.66666667,1,79.0,76.0,79.0,0,1
22,1520105.0,16.0,4.0,2.0,1.0,2.0,0.0,0,0,0,,,,,,4.0,5.0,1.0,1.0,3.0,5.0,2.0,92.0,3.0,69.0,39.0,31.0,25.0,43.16666667,1,69.8,60.8,69.8,0,1
23,830298.0,16.0,2.0,2.0,2.0,2.0,0.0,0,1,0,,,,,,5.0,4.0,4.0,2.0,4.0,5.0,0.0,19.0,41.0,14.0,98.0,68.0,67.0,51.16666667,1,77.4,60.0,77.4,0,1
24,2131639.0,15.0,2.0,4.0,1.0,3.0,0.0,1,1,1,,,,,,4.0,3.0,2.0,1.0,1.0,5.0,2.0,18.0,35.0,70.0,90.0,82.0,96.0,65.16666667,1,76.5,97.7,76.5,0,1
25,2400029.0,16.0,2.0,2.0,1.0,1.0,2.0,0,1,1,,,,,,1.0,2.0,2.0,1.0,3.0,5.0,14.0,12.0,35.0,37.0,32.0,70.0,66.0,42.0,1,52.58,54.6,52.58,1,Arts
26,531264.0,15.0,2.0,2.0,1.0,1.0,0.0,0,1,1,,,,,,4.0,2.0,2.0,1.0,2.0,5.0,2.0,36.0,72.0,88.0,74.0,70.0,59.0,66.5,1,71.0,79.0,71.0,0,1
27,3600021.0,15.0,4.0,2.0,1.0,1.0,0.0,0,0,1,,,,,,2.0,2.0,4.0,2.0,4.0,1.0,4.0,33.0,92.0,14.0,54.0,12.0,41.0,41.0,1,63.0,67.0,63.0,0,1
28,1930304.0,16.0,3.0,4.0,1.0,2.0,0.0,1,1,0,,,,,,5.0,3.0,3.0,1.0,1.0,5.0,4.0,41.0,85.0,45.0,99.0,45.0,95.0,68.33333333,1,76.76,76.5,76.76,0,1
29,1730538.0,16.0,4.0,4.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,4.0,5.0,5.0,5.0,5.0,16.0,28.0,45.0,30.0,14.0,88.0,58.0,43.83333333,1,62.0,67.0,62.0,0,1
30,2130293.0,15.0,4.0,4.0,1.0,2.0,0.0,0,1,1,,,,,,5.0,4.0,2.0,3.0,4.0,5.0,0.0,26.0,32.0,8.0,19.0,70.0,55.0,35.0,1,64.0,73.5,64.0,0,1
31,730027.0,15.0,4.0,4.0,2.0,2.0,0.0,0,1,0,,,,,,4.0,3.0,1.0,1.0,1.0,5.0,0.0,81.0,61.0,90.0,20.0,56.0,46.0,59.0,1,67.0,53.0,67.0,0,1
32,130007.0,15.0,4.0,3.0,1.0,2.0,0.0,0,1,0,,,,,,4.0,5.0,2.0,1.0,1.0,5.0,0.0,72.0,82.0,92.0,63.0,85.0,30.0,70.66666667,1,61.0,81.0,61.0,0,1
33,931044.0,15.0,3.0,3.0,1.0,2.0,0.0,0,0,0,,,,,,5.0,3.0,2.0,1.0,1.0,2.0,0.0,81.0,74.0,16.0,30.0,70.0,40.0,51.83333333,1,87.0,65.0,87.0,0,1
34,2131989.0,16.0,3.0,2.0,1.0,1.0,0.0,0,1,1,,,,,,5.0,4.0,3.0,1.0,1.0,5.0,0.0,97.0,96.0,96.0,39.0,93.0,91.0,85.33333333,2,62.0,51.0,62.0,0,2
35,2520046.0,15.0,2.0,3.0,2.0,1.0,0.0,0,1,0,,,,,,3.0,5.0,1.0,1.0,1.0,5.0,0.0,96.0,49.0,52.0,84.0,8.0,28.0,52.83333333,1,69.0,78.0,69.0,0,1
36,6230002.0,15.0,4.0,3.0,1.0,3.0,0.0,0,1,0,,,,,,5.0,4.0,3.0,1.0,1.0,4.0,2.0,71.0,34.0,85.0,94.0,8.0,3.0,49.16666667,1,51.0,44.0,51.0,1,Comm&Mgmt
37,430042.0,16.0,4.0,4.0,2.0,3.0,0.0,0,1,0,,,,,,2.0,4.0,3.0,1.0,1.0,5.0,7.0,80.0,6.0,25.0,68.0,51.0,11.0,40.16666667,1,79.0,76.0,79.0,0,1
38,3530229.0,15.0,3.0,4.0,1.0,3.0,0.0,1,1,1,,,,,,4.0,3.0,2.0,1.0,1.0,5.0,2.0,53.0,83.0,54.0,98.0,74.0,97.0,76.5,2,73.0,58.0,73.0,0,2
39,1820078.0,15.0,2.0,2.0,1.0,1.0,0.0,1,1,1,,,,,,4.0,3.0,1.0,1.0,1.0,2.0,8.0,11.0,56.0,80.0,40.0,60.0,58.0,50.83333333,1,81.0,68.0,81.0,0,1
40,3630054.0,16.0,2.0,2.0,2.0,2.0,1.0,0,1,0,,,,,,3.0,3.0,3.0,1.0,2.0,3.0,25.0,29.0,21.0,14.0,70.0,71.0,48.0,84.0,2,48.0,77.0,78.0,1,Sci&Tech
41,1930154.0,15.0,4.0,4.0,1.0,1.0,0.0,0,1,0,,,,,,5.0,4.0,3.0,2.0,4.0,5.0,8.0,19.0,52.0,22.0,81.0,86.0,56.0,52.66666667,1,74.0,63.16,74.0,0,1
42,1730595.0,15.0,4.0,4.0,1.0,2.0,0.0,0,1,0,,,,,,4.0,3.0,3.0,1.0,1.0,5.0,2.0,50.0,58.0,87.0,69.0,59.0,21.0,58.0,1,49.0,39.0,49.0,1,Arts
43,830354.0,15.0,2.0,2.0,1.0,1.0,0.0,1,1,0,,,,,,5.0,4.0,1.0,1.0,1.0,1.0,0.0,56.0,85.0,34.0,99.0,65.0,98.0,72.83333333,1,87.0,87.0,87.0,0,1
44,240026.0,16.0,2.0,2.0,2.0,2.0,1.0,1,0,0,,,,,,4.0,3.0,3.0,2.0,2.0,5.0,14.0,84.0,91.0,94.0,47.0,87.0,33.0,72.66666667,1,47.0,73.0,77.0,1,Comm&Mgmt
45,2131496.0,15.0,4.0,3.0,1.0,2.0,0.0,1,1,1,,,,,,5.0,2.0,2.0,1.0,1.0,5.0,8.0,26.0,53.0,44.0,50.0,32.0,23.0,38.0,1,76.0,64.0,76.0,0,1
46,2400049.0,16.0,3.0,3.0,1.0,2.0,0.0,0,1,0,,,,,,2.0,3.0,5.0,1.0,4.0,3.0,12.0,70.0,63.0,59.0,25.0,56.0,62.0,55.83333333,1,70.89,71.98,70.89,0,1
47,430178.0,16.0,4.0,3.0,1.0,4.0,0.0,0,0,0,,,,,,4.0,2.0,2.0,1.0,1.0,2.0,4.0,63.0,16.0,15.0,24.0,62.0,62.0,40.33333333,1,63.0,60.0,63.0,0,1
48,3530161.0,15.0,4.0,2.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,3.0,3.0,2.0,2.0,5.0,2.0,83.0,82.0,7.0,31.0,92.0,38.0,55.5,1,63.0,62.0,63.0,0,1
49,1820015.0,15.0,4.0,4.0,1.0,2.0,1.0,1,1,0,,,,,,4.0,4.0,4.0,1.0,1.0,3.0,2.0,85.0,83.0,69.0,67.0,29.0,11.0,57.33333333,1,50.0,37.0,50.0,1,Sci&Tech
50,1930327.0,16.0,2.0,2.0,3.0,2.0,0.0,0,1,1,,,,,,4.0,3.0,3.0,2.0,3.0,4.0,2.0,96.0,95.0,83.0,39.0,71.0,85.0,78.16666667,2,75.2,73.2,75.2,0,2
51,800023.0,15.0,4.0,2.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,3.0,3.0,1.0,1.0,5.0,2.0,96.0,91.0,50.0,91.0,43.0,17.0,64.66666667,1,54.4,61.12,54.4,1,Arts
52,2620061.0,15.0,4.0,2.0,2.0,1.0,1.0,0,0,0,,,,,,5.0,5.0,5.0,3.0,4.0,5.0,6.0,19.0,98.0,61.0,86.0,87.0,51.0,67.0,1,40.89,45.83,40.89,1,Comm&Mgmt
53,2131926.0,15.0,4.0,4.0,1.0,1.0,0.0,1,1,1,,,,,,3.0,3.0,4.0,2.0,3.0,5.0,0.0,90.0,31.0,72.0,57.0,53.0,55.0,59.66666667,1,80.0,70.0,80.0,0,1
54,3430255.0,15.0,3.0,3.0,1.0,1.0,0.0,0,0,1,,,,,,5.0,3.0,4.0,4.0,4.0,1.0,6.0,57.0,57.0,62.0,36.0,86.0,46.0,57.33333333,1,74.0,60.0,74.0,0,1
55,1030066.0,16.0,2.0,1.0,1.0,2.0,0.0,0,0,1,,,,,,5.0,3.0,4.0,1.0,1.0,2.0,8.0,38.0,49.0,38.0,64.0,21.0,91.0,50.16666667,1,60.4,66.6,60.4,0,1
56,1631137.0,15.0,4.0,3.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,3.0,2.0,1.0,1.0,1.0,0.0,63.0,40.0,93.0,86.0,86.0,8.0,62.66666667,1,63.0,71.4,63.0,0,1
57,930263.0,15.0,4.0,4.0,1.0,2.0,0.0,0,1,0,,,,,,3.0,2.0,2.0,1.0,1.0,5.0,4.0,86.0,75.0,86.0,44.0,91.0,96.0,79.66666667,2,68.0,76.0,68.0,0,2
58,1100035.0,15.0,1.0,2.0,1.0,2.0,0.0,1,1,0,,,,,,4.0,3.0,2.0,1.0,1.0,5.0,2.0,16.0,44.0,26.0,94.0,57.0,85.0,53.66666667,1,74.0,62.0,74.0,0,1
59,2220015.0,16.0,4.0,2.0,1.0,2.0,0.0,0,1,0,,,,,,4.0,2.0,3.0,1.0,1.0,5.0,2.0,34.0,79.0,63.0,59.0,69.0,92.0,66.0,1,52.6,65.58,52.6,1,Sci&Tech
60,2752090.0,16.0,4.0,4.0,1.0,2.0,0.0,0,1,0,,,,,,2.0,4.0,4.0,2.0,3.0,4.0,6.0,44.0,50.0,94.0,36.0,77.0,89.0,65.0,1,74.0,70.0,74.0,0,1
61,2730136.0,16.0,1.0,1.0,4.0,1.0,0.0,1,1,0,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,82.0,36.0,31.0,13.0,77.0,7.0,41.0,1,84.2,73.4,84.2,0,1
62,2132398.0,16.0,1.0,2.0,1.0,2.0,0.0,1,0,0,,,,,,4.0,4.0,3.0,1.0,1.0,1.0,4.0,49.0,27.0,83.0,9.0,68.0,24.0,43.33333333,1,44.0,64.2,86.5,1,Arts
63,2752051.0,16.0,4.0,3.0,1.0,3.0,0.0,1,1,1,,,,,,3.0,4.0,4.0,2.0,4.0,4.0,2.0,36.0,93.0,54.0,72.0,98.0,44.0,66.16666667,1,61.0,70.0,61.0,0,1
64,1030528.0,15.0,4.0,3.0,1.0,2.0,0.0,1,0,0,,,,,,4.0,4.0,4.0,2.0,4.0,2.0,0.0,28.0,12.0,87.0,71.0,15.0,57.0,45.0,1,80.0,73.0,80.0,0,1
65,3330246.0,16.0,4.0,3.0,3.0,2.0,0.0,0,1,0,,,,,,5.0,4.0,3.0,1.0,2.0,1.0,2.0,18.0,70.0,15.0,36.0,18.0,21.0,84.0,2,54.0,47.0,54.0,1,Comm&Mgmt
66,1730119.0,15.0,4.0,4.0,1.0,4.0,0.0,0,1,0,,,,,,1.0,3.0,3.0,5.0,5.0,3.0,4.0,49.0,14.0,62.0,10.0,19.0,8.0,84.0,2,83.0,74.0,83.0,0,2
67,930695.0,16.0,3.0,1.0,1.0,4.0,0.0,1,1,1,,,,,,4.0,3.0,3.0,1.0,2.0,5.0,4.0,53.0,45.0,40.0,7.0,28.0,56.0,38.16666667,1,80.92,78.5,80.92,0,1
68,1130434.0,15.0,2.0,2.0,2.0,2.0,0.0,1,1,1,,,,,,4.0,1.0,3.0,1.0,3.0,4.0,2.0,26.0,45.0,9.0,79.0,37.0,80.0,46.0,1,69.7,47.0,69.7,0,1
69,1700039.0,15.0,3.0,1.0,2.0,4.0,0.0,0,1,0,,,,,,4.0,4.0,2.0,2.0,3.0,3.0,12.0,41.0,98.0,56.0,74.0,69.0,42.0,63.33333333,1,73.0,73.0,73.0,0,1
70,830707.0,16.0,3.0,1.0,2.0,4.0,0.0,0,1,1,,,,,,4.0,3.0,2.0,1.0,1.0,5.0,0.0,34.0,10.0,24.0,10.0,19.0,70.0,84.0,2,82.0,61.0,82.0,0,2
71,2132739.0,15.0,4.0,2.0,1.0,4.0,0.0,0,0,0,,,,,,3.0,3.0,3.0,1.0,1.0,3.0,0.0,4.0,60.0,18.0,24.0,19.0,31.0,84.0,2,75.0,70.29,75.0,0,2
72,2730688.0,15.0,1.0,1.0,1.0,2.0,2.0,1,1,0,,,,,,3.0,3.0,4.0,2.0,4.0,5.0,2.0,65.0,38.0,42.0,57.0,76.0,77.0,59.16666667,1,42.0,67.0,84.86,1,Sci&Tech
73,930846.0,16.0,3.0,1.0,1.0,1.0,0.0,0,0,0,,,,,,5.0,3.0,2.0,2.0,2.0,5.0,2.0,36.0,77.0,58.0,58.0,76.0,96.0,66.83333333,1,64.6,83.83,64.6,0,1
74,830636.0,16.0,3.0,3.0,1.0,2.0,0.0,1,1,1,,,,,,4.0,3.0,3.0,2.0,4.0,5.0,54.0,40.0,38.0,19.0,6.0,53.0,57.0,35.5,1,56.6,64.8,56.6,1,Arts
75,2130634.0,15.0,4.0,3.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,3.0,3.0,2.0,3.0,5.0,6.0,59.0,72.0,22.0,93.0,67.0,56.0,61.5,1,59.0,62.0,59.0,1,Comm&Mgmt
76,3630174.0,15.0,4.0,0.0,2.0,4.0,0.0,0,0,0,,,,,,3.0,4.0,3.0,1.0,1.0,1.0,8.0,80.0,67.0,52.0,53.0,78.0,69.0,66.5,1,66.5,70.4,66.5,0,1
77,531493.0,16.0,2.0,2.0,1.0,4.0,0.0,0,0,1,,,,,,5.0,2.0,3.0,1.0,3.0,3.0,0.0,43.0,62.0,64.0,37.0,73.0,90.0,61.5,1,64.0,80.0,64.0,0,1
78,2131777.0,17.0,2.0,1.0,2.0,1.0,3.0,1,1,0,,,,,,4.0,5.0,1.0,1.0,1.0,3.0,2.0,61.0,5.0,71.0,72.0,56.0,30.0,49.16666667,1,84.0,90.9,84.0,0,1
79,3330037.0,16.0,3.0,4.0,1.0,2.0,0.0,0,1,0,,,,,,2.0,4.0,3.0,1.0,2.0,3.0,12.0,63.0,94.0,14.0,59.0,66.0,75.0,61.83333333,1,69.0,62.0,69.0,0,1
80,1030859.0,15.0,2.0,3.0,1.0,1.0,0.0,1,1,1,,,,,,3.0,2.0,2.0,1.0,3.0,3.0,2.0,21.0,49.0,48.0,51.0,70.0,4.0,40.5,1,69.0,62.0,69.0,0,1
81,2756060.0,15.0,2.0,3.0,1.0,3.0,0.0,1,0,1,,,,,,5.0,3.0,2.0,1.0,2.0,5.0,4.0,80.0,17.0,19.0,6.0,72.0,88.0,47.0,1,81.7,63.0,81.7,0,1
82,2132254.0,15.0,3.0,2.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,4.0,4.0,1.0,1.0,5.0,10.0,70.0,31.0,60.0,21.0,54.0,76.0,52.0,1,63.0,67.0,63.0,0,1
83,2778042.0,15.0,2.0,2.0,2.0,2.0,0.0,0,0,1,,,,,,5.0,3.0,3.0,1.0,3.0,4.0,4.0,5.0,22.0,48.0,33.0,32.0,70.0,35.0,1,40.0,79.0,84.0,1,Sci&Tech
84,140008.0,15.0,1.0,1.0,1.0,2.0,0.0,0,1,0,,,,,,4.0,3.0,2.0,2.0,3.0,4.0,2.0,13.0,88.0,92.0,25.0,83.0,98.0,66.5,1,70.0,63.0,70.0,0,1
85,1000075.0,15.0,4.0,4.0,2.0,2.0,2.0,0,0,1,,,,,,4.0,4.0,4.0,2.0,3.0,5.0,6.0,20.0,45.0,59.0,73.0,62.0,90.0,58.16666667,1,83.84,89.83,83.84,0,1
86,2131018.0,16.0,2.0,2.0,1.0,2.0,0.0,0,1,0,,,,,,4.0,3.0,4.0,1.0,2.0,2.0,4.0,32.0,89.0,91.0,20.0,76.0,58.0,61.0,1,62.0,63.0,62.0,0,1
87,940013.0,15.0,4.0,2.0,1.0,3.0,0.0,0,1,0,,,,,,5.0,3.0,3.0,1.0,3.0,1.0,4.0,7.0,16.0,28.0,17.0,96.0,82.0,41.0,1,59.6,51.0,59.6,1,Arts
88,3530311.0,16.0,2.0,2.0,2.0,2.0,1.0,0,0,1,,,,,,4.0,4.0,2.0,1.0,1.0,3.0,12.0,25.0,15.0,46.0,25.0,10.0,22.0,84.0,2,66.0,62.0,66.0,0,2
89,531037.0,16.0,4.0,4.0,1.0,2.0,0.0,0,1,0,,,,,,4.0,1.0,3.0,3.0,5.0,5.0,18.0,65.0,70.0,58.0,4.0,67.0,78.0,57.0,1,84.0,75.0,84.0,0,1
90,2760102.0,16.0,3.0,3.0,1.0,3.0,0.0,0,1,1,,,,,,4.0,3.0,3.0,1.0,3.0,4.0,0.0,16.0,30.0,79.0,51.0,60.0,93.0,54.83333333,1,85.0,90.0,85.0,0,1
91,2131823.0,15.0,4.0,3.0,1.0,1.0,0.0,0,0,1,,,,,,4.0,5.0,5.0,1.0,3.0,1.0,4.0,52.0,82.0,33.0,92.0,31.0,72.0,60.33333333,1,52.0,57.0,52.0,1,Comm&Mgmt
92,1630931.0,16.0,3.0,1.0,1.0,2.0,0.0,1,1,0,,,,,,3.0,3.0,3.0,2.0,3.0,2.0,4.0,87.0,13.0,24.0,82.0,47.0,16.0,44.83333333,1,60.23,69.0,60.23,0,1
93,930892.0,16.0,4.0,2.0,2.0,2.0,0.0,0,1,1,,,,,,5.0,3.0,3.0,1.0,1.0,1.0,0.0,12.0,77.0,94.0,38.0,15.0,75.0,51.83333333,1,52.0,62.0,52.0,1,Sci&Tech
94,1530177.0,15.0,2.0,2.0,1.0,4.0,0.0,0,1,0,,,,,,4.0,3.0,4.0,1.0,1.0,4.0,6.0,16.0,1.0,79.0,84.0,60.0,78.0,53.0,1,58.0,62.0,58.0,1,Arts
95,1930398.0,15.0,1.0,1.0,2.0,4.0,1.0,1,1,1,,,,,,3.0,1.0,2.0,1.0,1.0,1.0,2.0,25.0,49.0,22.0,90.0,13.0,66.0,44.16666667,1,73.0,78.0,73.0,0,1
96,2131347.0,16.0,4.0,3.0,2.0,1.0,0.0,1,1,0,,,,,,3.0,3.0,3.0,1.0,1.0,4.0,2.0,72.0,30.0,24.0,19.0,25.0,86.0,42.66666667,1,76.0,70.0,76.0,0,1
97,930139.0,16.0,2.0,1.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,3.0,5.0,1.0,1.0,5.0,2.0,70.0,67.0,64.0,58.0,12.0,88.0,64.33333333,1,49.0,62.5,70.5,1,Comm&Mgmt
98,2130213.0,16.0,4.0,4.0,1.0,1.0,0.0,0,0,0,,,,,,5.0,3.0,4.0,1.0,2.0,1.0,6.0,39.0,36.0,11.0,93.0,98.0,52.0,54.83333333,1,69.0,73.0,69.0,0,1
99,530270.0,16.0,4.0,3.0,1.0,3.0,0.0,1,1,1,,,,,,5.0,3.0,5.0,1.0,1.0,3.0,0.0,30.0,83.0,29.0,64.0,33.0,66.0,50.83333333,1,54.0,82.0,54.0,1,Sci&Tech
100,530271.0,16.0,4.0,4.0,1.0,1.0,0.0,1,1,1,,,,,,4.0,5.0,5.0,5.0,5.0,4.0,14.0,39.0,25.0,26.0,82.0,76.0,26.0,45.66666667,1,67.0,91.0,67.0,0,1
101,530272.0,16.0,4.0,4.0,1.0,3.0,0.0,0,1,0,,,,,,4.0,4.0,3.0,1.0,1.0,4.0,0.0,45.0,84.0,65.0,46.0,94.0,27.0,60.16666667,1,79.33,78.33,79.33,0,1
102,530273.0,15.0,4.0,4.0,1.0,1.0,0.0,0,1,0,,,,,,5.0,3.0,3.0,1.0,1.0,5.0,4.0,71.0,90.0,68.0,55.0,69.0,25.0,63.0,1,65.0,68.0,65.0,0,1
103,530274.0,15.0,3.0,2.0,2.0,2.0,0.0,1,1,1,,,,,,4.0,3.0,5.0,1.0,1.0,2.0,26.0,36.0,20.0,99.0,88.0,64.0,43.0,58.33333333,1,56.0,52.0,56.0,1,Arts
104,530275.0,15.0,3.0,4.0,1.0,2.0,0.0,0,1,1,,,,,,5.0,4.0,4.0,1.0,1.0,1.0,0.0,99.0,49.0,73.0,90.0,22.0,99.0,72.0,1,85.8,73.6,85.8,0,1
105,530276.0,15.0,3.0,3.0,1.0,4.0,0.0,1,0,0,,,,,,4.0,3.0,3.0,1.0,1.0,4.0,10.0,44.0,37.0,14.0,30.0,98.0,39.0,43.66666667,1,55.0,49.8,55.0,1,Comm&Mgmt
106,530277.0,15.0,2.0,2.0,1.0,4.0,0.0,1,1,1,,,,,,5.0,1.0,2.0,1.0,1.0,3.0,8.0,58.0,40.0,30.0,71.0,47.0,21.0,44.5,1,46.0,49.2,46.0,1,Sci&Tech
107,530278.0,16.0,3.0,3.0,1.0,3.0,0.0,0,1,0,,,,,,5.0,3.0,3.0,1.0,1.0,5.0,2.0,89.0,97.0,48.0,87.0,74.0,14.0,68.16666667,1,82.0,64.0,82.0,0,1
108,530279.0,15.0,4.0,4.0,4.0,4.0,0.0,0,1,1,,,,,,1.0,3.0,5.0,3.0,5.0,1.0,6.0,92.0,19.0,77.0,4.0,62.0,36.0,48.33333333,1,73.0,79.0,73.0,0,1
109,530280.0,16.0,4.0,4.0,1.0,3.0,0.0,0,1,1,,,,,,5.0,4.0,5.0,1.0,1.0,4.0,4.0,77.0,65.0,19.0,94.0,20.0,44.0,53.16666667,1,58.0,70.0,58.0,1,Arts
110,530281.0,15.0,4.0,4.0,1.0,1.0,0.0,0,0,0,,,,,,5.0,5.0,3.0,1.0,1.0,4.0,6.0,62.0,85.0,73.0,33.0,34.0,30.0,52.83333333,1,58.0,61.0,58.0,1,Comm&Mgmt
111,530282.0,16.0,3.0,3.0,1.0,3.0,1.0,1,1,0,,,,,,4.0,1.0,2.0,1.0,1.0,2.0,0.0,70.0,0.0,49.0,54.0,59.0,28.0,43.33333333,1,69.6,68.4,69.6,0,1
112,530283.0,16.0,2.0,2.0,1.0,2.0,1.0,1,0,0,,,,,,3.0,1.0,2.0,1.0,1.0,5.0,6.0,92.0,92.0,94.0,20.0,95.0,18.0,68.5,1,47.0,55.0,47.0,1,Sci&Tech
113,530284.0,15.0,4.0,2.0,1.0,1.0,0.0,0,0,0,,,,,,3.0,5.0,2.0,1.0,1.0,3.0,10.0,90.0,49.0,88.0,60.0,38.0,12.0,56.16666667,1,77.0,87.0,77.0,0,1
