,aff_no,age,Act1,Act2,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,roomate,famrel,freetime,goout,Dalc,Walc,health,absences,hindi_mrk(10),eng_mrk(10),socil_mrk(10),sci_mrk(10),skt_mrk(10),math_mrk(10),perc(total_avg),site_sel,G1_11F,G2 _11S,G3_12,SugSite,NewSite
11,1700018,15,2,1,3,3,0,0,1,0,,,,,,5,2,2,1,1,4,4,70,0,49,54,59,28,43.33333333,Arts,69.6,68.4,69.6,0,Arts
12,1130499,15,4,4,1,1,0,0,1,1,,,,,,4,3,3,1,3,5,2,92,92,94,20,95,18,68.5,Comm&Mgmt,47.0,55.0,47.0,1,Comm&Mgmt
13,1630822,15,4,3,2,2,0,0,1,1,,,,,,5,4,3,1,2,3,2,90,49,88,60,38,12,56.16666667,Arts,77.0,87.0,77.0,0,Arts
14,930557,15,2,2,1,3,0,0,1,0,,,,,,4,5,2,1,1,3,0,29,48,74,93,35,22,50.16666667,Arts,62.0,47.0,62.0,0,Arts
15,830770,16,4,4,1,1,0,0,1,0,,,,,,4,4,4,1,2,2,4,87,49,35,73,81,4,54.83333333,Arts,65.0,75.0,65.0,0,Arts
16,2730550,16,4,4,1,3,0,0,1,1,,,,,,3,2,3,1,2,2,6,60,1,15,37,31,72,36.0,Arts,63.0,66.2,63.0,0,Arts
17,2132804,16,3,3,3,2,0,1,1,0,,,,,,5,3,2,1,1,4,4,15,13,11,13,37,20,84.0,Sci&Tech,55.0,67.0,55.0,1,Sci&Tech
18,3330107,17,3,2,1,1,3,0,1,0,,,,,,5,5,5,2,4,5,16,44,35,98,34,8,53,45.33333333,Arts,63.0,66.0,63.0,0,Arts
19,1030583,16,4,3,1,1,0,0,0,1,,,,,,3,1,3,1,3,5,4,53,40,60,52,39,20,44.0,Arts,60.0,67.0,60.0,0,Arts
20,5230004,15,4,3,1,2,0,0,0,0,,,,,,4,4,1,1,1,1,0,61,70,86,59,91,80,74.5,Sci&Tech,62.0,65.0,62.0,0,Sci&Tech
21,1730187,15,4,4,1,1,0,0,1,1,,,,,,5,4,2,1,1,5,0,85,13,40,18,17,35,34.66666667,Comm&Mgmt,79.0,76.0,79.0,0,Comm&Mgmt
22,1520105,16,4,2,1,2,0,0,0,0,,,,,,4,5,1,1,3,5,2,92,3,69,39,31,25,43.16666667,Comm&Mgmt,69.8,60.8,69.8,0,Comm&Mgmt
23,830298,16,2,2,2,2,0,0,1,0,,,,,,5,4,4,2,4,5,0,19,41,14,98,68,67,51.16666667,Comm&Mgmt,77.4,60.0,77.4,0,Comm&Mgmt
24,2131639,15,2,4,1,3,0,1,1,1,,,,,,4,3,2,1,1,5,2,18,35,70,90,82,96,65.16666667,Comm&Mgmt,76.5,97.7,76.5,0,Comm&Mgmt
25,2400029,16,2,2,1,1,2,0,1,1,,,,,,1,2,2,1,3,5,14,12,35,37,32,70,66,42.0,Comm&Mgmt,52.58,54.6,52.58,1,Arts
26,531264,15,2,2,1,1,0,0,1,1,,,,,,4,2,2,1,2,5,2,36,72,88,74,70,59,66.5,Comm&Mgmt,71.0,79.0,71.0,0,Comm&Mgmt
27,3600021,15,4,2,1,1,0,0,0,1,,,,,,2,2,4,2,4,1,4,33,92,14,54,12,41,41.0,Comm&Mgmt,63.0,67.0,63.0,0,Comm&Mgmt
28,1930304,16,3,4,1,2,0,1,1,0,,,,,,5,3,3,1,1,5,4,41,85,45,99,45,95,68.33333333,Comm&Mgmt,76.76,76.5,76.76,0,Comm&Mgmt
29,1730538,16,4,4,1,2,0,0,1,1,,,,,,4,4,5,5,5,5,16,28,45,30,14,88,58,43.83333333,Comm&Mgmt,62.0,67.0,62.0,0,Comm&Mgmt
30,2130293,15,4,4,1,2,0,0,1,1,,,,,,5,4,2,3,4,5,0,26,32,8,19,70,55,35.0,Comm&Mgmt,64.0,73.5,64.0,0,Comm&Mgmt
31,730027,15,4,4,2,2,0,0,1,0,,,,,,4,3,1,1,1,5,0,81,61,90,20,56,46,59.0,Comm&Mgmt,67.0,53.0,67.0,0,Comm&Mgmt
32,130007,15,4,3,1,2,0,0,1,0,,,,,,4,5,2,1,1,5,0,72,82,92,63,85,30,70.66666667,Comm&Mgmt,61.0,81.0,61.0,0,Comm&Mgmt
33,931044,15,3,3,1,2,0,0,0,0,,,,,,5,3,2,1,1,2,0,81,74,16,30,70,40,51.83333333,Comm&Mgmt,87.0,65.0,87.0,0,Comm&Mgmt
34,2131989,16,3,2,1,1,0,0,1,1,,,,,,5,4,3,1,1,5,0,97,96,96,39,93,91,85.33333333,Sci&Tech,62.0,51.0,62.0,0,Sci&Tech
35,2520046,15,2,3,2,1,0,0,1,0,,,,,,3,5,1,1,1,5,0,96,49,52,84,8,28,52.83333333,Comm&Mgmt,69.0,78.0,69.0,0,Comm&Mgmt
36,6230002,15,4,3,1,3,0,0,1,0,,,,,,5,4,3,1,1,4,2,71,34,85,94,8,3,49.16666667,Comm&Mgmt,51.0,44.0,51.0,1,Comm&Mgmt
37,430042,16,4,4,2,3,0,0,1,0,,,,,,2,4,3,1,1,5,7,80,6,25,68,51,11,40.16666667,Comm&Mgmt,79.0,76.0,79.0,0,Comm&Mgmt
38,3530229,15,3,4,1,3,0,1,1,1,,,,,,4,3,2,1,1,5,2,53,83,54,98,74,97,76.5,Sci&Tech,73.0,58.0,73.0,0,Sci&Tech
39,1820078,15,2,2,1,1,0,1,1,1,,,,,,4,3,1,1,1,2,8,11,56,80,40,60,58,50.83333333,Comm&Mgmt,81.0,68.0,81.0,0,Comm&Mgmt
40,3630054,16,2,2,2,2,1,0,1,0,,,,,,3,3,3,1,2,3,25,29,21,14,70,71,48,84.0,Sci&Tech,48.0,77.0,78.0,1,Sci&Tech
41,1930154,15,4,4,1,1,0,0,1,0,,,,,,5,4,3,2,4,5,8,19,52,22,81,86,56,52.66666667,Comm&Mgmt,74.0,63.16,74.0,0,Comm&Mgmt
42,1730595,15,4,4,1,2,0,0,1,0,,,,,,4,3,3,1,1,5,2,50,58,87,69,59,21,58.0,Comm&Mgmt,49.0,39.0,49.0,1,Arts
43,830354,15,2,2,1,1,0,1,1,0,,,,,,5,4,1,1,1,1,0,56,85,34,99,65,98,72.83333333,Comm&Mgmt,87.0,87.0,87.0,0,Comm&Mgmt
44,240026,16,2,2,2,2,1,1,0,0,,,,,,4,3,3,2,2,5,14,84,91,94,47,87,33,72.66666667,Comm&Mgmt,47.0,73.0,77.0,1,Comm&Mgmt
45,2131496,15,4,3,1,2,0,1,1,1,,,,,,5,2,2,1,1,5,8,26,53,44,50,32,23,38.0,Comm&Mgmt,76.0,64.0,76.0,0,Comm&Mgmt
46,2400049,16,3,3,1,2,0,0,1,0,,,,,,2,3,5,1,4,3,12,70,63,59,25,56,62,55.83333333,Comm&Mgmt,70.89,71.98,70.89,0,Comm&Mgmt
47,430178,16,4,3,1,4,0,0,0,0,,,,,,4,2,2,1,1,2,4,63,16,15,24,62,62,40.33333333,Comm&Mgmt,63.0,60.0,63.0,0,Comm&Mgmt
48,3530161,15,4,2,1,2,0,0,1,1,,,,,,4,3,3,2,2,5,2,83,82,7,31,92,38,55.5,Comm&Mgmt,63.0,62.0,63.0,0,Comm&Mgmt
49,1820015,15,4,4,1,2,1,1,1,0,,,,,,4,4,4,1,1,3,2,85,83,69,67,29,11,57.33333333,Comm&Mgmt,50.0,37.0,50.0,1,Sci&Tech
50,1930327,16,2,2,3,2,0,0,1,1,,,,,,4,3,3,2,3,4,2,96,95,83,39,71,85,78.16666667,Sci&Tech,75.2,73.2,75.2,0,Sci&Tech
51,800023,15,4,2,1,2,0,0,1,1,,,,,,4,3,3,1,1,5,2,96,91,50,91,43,17,64.66666667,Comm&Mgmt,54.4,61.12,54.4,1,Arts
52,2620061,15,4,2,2,1,1,0,0,0,,,,,,5,5,5,3,4,5,6,19,98,61,86,87,51,67.0,Comm&Mgmt,40.89,45.83,40.89,1,Comm&Mgmt
53,2131926,15,4,4,1,1,0,1,1,1,,,,,,3,3,4,2,3,5,0,90,31,72,57,53,55,59.66666667,Comm&Mgmt,80.0,70.0,80.0,0,Comm&Mgmt
54,3430255,15,3,3,1,1,0,0,0,1,,,,,,5,3,4,4,4,1,6,57,57,62,36,86,46,57.33333333,Comm&Mgmt,74.0,60.0,74.0,0,Comm&Mgmt
55,1030066,16,2,1,1,2,0,0,0,1,,,,,,5,3,4,1,1,2,8,38,49,38,64,21,91,50.16666667,Comm&Mgmt,60.4,66.6,60.4,0,Comm&Mgmt
56,1631137,15,4,3,1,2,0,0,1,1,,,,,,4,3,2,1,1,1,0,63,40,93,86,86,8,62.66666667,Comm&Mgmt,63.0,71.4,63.0,0,Comm&Mgmt
57,930263,15,4,4,1,2,0,0,1,0,,,,,,3,2,2,1,1,5,4,86,75,86,44,91,96,79.66666667,Sci&Tech,68.0,76.0,68.0,0,Sci&Tech
58,1100035,15,1,2,1,2,0,1,1,0,,,,,,4,3,2,1,1,5,2,16,44,26,94,57,85,53.66666667,Comm&Mgmt,74.0,62.0,74.0,0,Comm&Mgmt
59,2220015,16,4,2,1,2,0,0,1,0,,,,,,4,2,3,1,1,5,2,34,79,63,59,69,92,66.0,Comm&Mgmt,52.6,65.58,52.6,1,Sci&Tech
60,2752090,16,4,4,1,2,0,0,1,0,,,,,,2,4,4,2,3,4,6,44,50,94,36,77,89,65.0,Comm&Mgmt,74.0,70.0,74.0,0,Comm&Mgmt
61,2730136,16,1,1,4,1,0,1,1,0,,,,,,5,5,5,5,5,5,6,82,36,31,13,77,7,41.0,Comm&Mgmt,84.2,73.4,84.2,0,Comm&Mgmt
62,2132398,16,1,2,1,2,0,1,0,0,,,,,,4,4,3,1,1,1,4,49,27,83,9,68,24,43.33333333,Comm&Mgmt,44.0,64.2,86.5,1,Arts
63,2752051,16,4,3,1,3,0,1,1,1,,,,,,3,4,4,2,4,4,2,36,93,54,72,98,44,66.16666667,Comm&Mgmt,61.0,70.0,61.0,0,Comm&Mgmt
64,1030528,15,4,3,1,2,0,1,0,0,,,,,,4,4,4,2,4,2,0,28,12,87,71,15,57,45.0,Comm&Mgmt,80.0,73.0,80.0,0,Comm&Mgmt
65,3330246,16,4,3,3,2,0,0,1,0,,,,,,5,4,3,1,2,1,2,18,70,15,36,18,21,84.0,Sci&Tech,54.0,47.0,54.0,1,Comm&Mgmt
66,1730119,15,4,4,1,4,0,0,1,0,,,,,,1,3,3,5,5,3,4,49,14,62,10,19,8,84.0,Sci&Tech,83.0,74.0,83.0,0,Sci&Tech
67,930695,16,3,1,1,4,0,1,1,1,,,,,,4,3,3,1,2,5,4,53,45,40,7,28,56,38.16666667,Comm&Mgmt,80.92,78.5,80.92,0,Comm&Mgmt
68,1130434,15,2,2,2,2,0,1,1,1,,,,,,4,1,3,1,3,4,2,26,45,9,79,37,80,46.0,Comm&Mgmt,69.7,47.0,69.7,0,Comm&Mgmt
69,1700039,15,3,1,2,4,0,0,1,0,,,,,,4,4,2,2,3,3,12,41,98,56,74,69,42,63.33333333,Comm&Mgmt,73.0,73.0,73.0,0,Comm&Mgmt
70,830707,16,3,1,2,4,0,0,1,1,,,,,,4,3,2,1,1,5,0,34,10,24,10,19,70,84.0,Sci&Tech,82.0,61.0,82.0,0,Sci&Tech
71,2132739,15,4,2,1,4,0,0,0,0,,,,,,3,3,3,1,1,3,0,4,60,18,24,19,31,84.0,Sci&Tech,75.0,70.29,75.0,0,Sci&Tech
72,2730688,15,1,1,1,2,2,1,1,0,,,,,,3,3,4,2,4,5,2,65,38,42,57,76,77,59.16666667,Comm&Mgmt,42.0,67.0,84.86,1,Sci&Tech
73,930846,16,3,1,1,1,0,0,0,0,,,,,,5,3,2,2,2,5,2,36,77,58,58,76,96,66.83333333,Comm&Mgmt,64.6,83.83,64.6,0,Comm&Mgmt
74,830636,16,3,3,1,2,0,1,1,1,,,,,,4,3,3,2,4,5,54,40,38,19,6,53,57,35.5,Comm&Mgmt,56.6,64.8,56.6,1,Arts
75,2130634,15,4,3,1,2,0,0,1,1,,,,,,4,3,3,2,3,5,6,59,72,22,93,67,56,61.5,Comm&Mgmt,59.0,62.0,59.0,1,Comm&Mgmt
76,3630174,15,4,0,2,4,0,0,0,0,,,,,,3,4,3,1,1,1,8,80,67,52,53,78,69,66.5,Comm&Mgmt,66.5,70.4,66.5,0,Comm&Mgmt
77,531493,16,2,2,1,4,0,0,0,1,,,,,,5,2,3,1,3,3,0,43,62,64,37,73,90,61.5,Comm&Mgmt,64.0,80.0,64.0,0,Comm&Mgmt
78,2131777,17,2,1,2,1,3,1,1,0,,,,,,4,5,1,1,1,3,2,61,5,71,72,56,30,49.16666667,Comm&Mgmt,84.0,90.9,84.0,0,Comm&Mgmt
79,3330037,16,3,4,1,2,0,0,1,0,,,,,,2,4,3,1,2,3,12,63,94,14,59,66,75,61.83333333,Comm&Mgmt,69.0,62.0,69.0,0,Comm&Mgmt
80,1030859,15,2,3,1,1,0,1,1,1,,,,,,3,2,2,1,3,3,2,21,49,48,51,70,4,40.5,Comm&Mgmt,69.0,62.0,69.0,0,Comm&Mgmt
81,2756060,15,2,3,1,3,0,1,0,1,,,,,,5,3,2,1,2,5,4,80,17,19,6,72,88,47.0,Comm&Mgmt,81.7,63.0,81.7,0,Comm&Mgmt
82,2132254,15,3,2,1,2,0,0,1,1,,,,,,4,4,4,1,1,5,10,70,31,60,21,54,76,52.0,Comm&Mgmt,63.0,67.0,63.0,0,Comm&Mgmt
83,2778042,15,2,2,2,2,0,0,0,1,,,,,,5,3,3,1,3,4,4,5,22,48,33,32,70,35.0,Comm&Mgmt,40.0,79.0,84.0,1,Sci&Tech
84,140008,15,1,1,1,2,0,0,1,0,,,,,,4,3,2,2,3,4,2,13,88,92,25,83,98,66.5,Comm&Mgmt,70.0,63.0,70.0,0,Comm&Mgmt
85,1000075,15,4,4,2,2,2,0,0,1,,,,,,4,4,4,2,3,5,6,20,45,59,73,62,90,58.16666667,Comm&Mgmt,83.84,89.83,83.84,0,Comm&Mgmt
86,2131018,16,2,2,1,2,0,0,1,0,,,,,,4,3,4,1,2,2,4,32,89,91,20,76,58,61.0,Comm&Mgmt,62.0,63.0,62.0,0,Comm&Mgmt
87,940013,15,4,2,1,3,0,0,1,0,,,,,,5,3,3,1,3,1,4,7,16,28,17,96,82,41.0,Comm&Mgmt,59.6,51.0,59.6,1,Arts
88,3530311,16,2,2,2,2,1,0,0,1,,,,,,4,4,2,1,1,3,12,25,15,46,25,10,22,84.0,Sci&Tech,66.0,62.0,66.0,0,Sci&Tech
89,531037,16,4,4,1,2,0,0,1,0,,,,,,4,1,3,3,5,5,18,65,70,58,4,67,78,57.0,Comm&Mgmt,84.0,75.0,84.0,0,Comm&Mgmt
90,2760102,16,3,3,1,3,0,0,1,1,,,,,,4,3,3,1,3,4,0,16,30,79,51,60,93,54.83333333,Comm&Mgmt,85.0,90.0,85.0,0,Comm&Mgmt
91,2131823,15,4,3,1,1,0,0,0,1,,,,,,4,5,5,1,3,1,4,52,82,33,92,31,72,60.33333333,Comm&Mgmt,52.0,57.0,52.0,1,Comm&Mgmt
92,1630931,16,3,1,1,2,0,1,1,0,,,,,,3,3,3,2,3,2,4,87,13,24,82,47,16,44.83333333,Comm&Mgmt,60.23,69.0,60.23,0,Comm&Mgmt
93,930892,16,4,2,2,2,0,0,1,1,,,,,,5,3,3,1,1,1,0,12,77,94,38,15,75,51.83333333,Comm&Mgmt,52.0,62.0,52.0,1,Sci&Tech
94,1530177,15,2,2,1,4,0,0,1,0,,,,,,4,3,4,1,1,4,6,16,1,79,84,60,78,53.0,Comm&Mgmt,58.0,62.0,58.0,1,Arts
95,1930398,15,1,1,2,4,1,1,1,1,,,,,,3,1,2,1,1,1,2,25,49,22,90,13,66,44.16666667,Comm&Mgmt,73.0,78.0,73.0,0,Comm&Mgmt
96,2131347,16,4,3,2,1,0,1,1,0,,,,,,3,3,3,1,1,4,2,72,30,24,19,25,86,42.66666667,Comm&Mgmt,76.0,70.0,76.0,0,Comm&Mgmt
97,930139,16,2,1,1,2,0,0,1,1,,,,,,4,3,5,1,1,5,2,70,67,64,58,12,88,64.33333333,Comm&Mgmt,49.0,62.5,70.5,1,Comm&Mgmt
98,2130213,16,4,4,1,1,0,0,0,0,,,,,,5,3,4,1,2,1,6,39,36,11,93,98,52,54.83333333,Comm&Mgmt,69.0,73.0,69.0,0,Comm&Mgmt
99,530270,16,4,3,1,3,0,1,1,1,,,,,,5,3,5,1,1,3,0,30,83,29,64,33,66,50.83333333,Comm&Mgmt,54.0,82.0,54.0,1,Sci&Tech
100,530271,16,4,4,1,1,0,1,1,1,,,,,,4,5,5,5,5,4,14,39,25,26,82,76,26,45.66666667,Comm&Mgmt,67.0,91.0,67.0,0,Comm&Mgmt
101,530272,16,4,4,1,3,0,0,1,0,,,,,,4,4,3,1,1,4,0,45,84,65,46,94,27,60.16666667,Comm&Mgmt,79.33,78.33,79.33,0,Comm&Mgmt
102,530273,15,4,4,1,1,0,0,1,0,,,,,,5,3,3,1,1,5,4,71,90,68,55,69,25,63.0,Comm&Mgmt,65.0,68.0,65.0,0,Comm&Mgmt
103,530274,15,3,2,2,2,0,1,1,1,,,,,,4,3,5,1,1,2,26,36,20,99,88,64,43,58.33333333,Comm&Mgmt,56.0,52.0,56.0,1,Arts
104,530275,15,3,4,1,2,0,0,1,1,,,,,,5,4,4,1,1,1,0,99,49,73,90,22,99,72.0,Comm&Mgmt,85.8,73.6,85.8,0,Comm&Mgmt
105,530276,15,3,3,1,4,0,1,0,0,,,,,,4,3,3,1,1,4,10,44,37,14,30,98,39,43.66666667,Comm&Mgmt,55.0,49.8,55.0,1,Comm&Mgmt
106,530277,15,2,2,1,4,0,1,1,1,,,,,,5,1,2,1,1,3,8,58,40,30,71,47,21,44.5,Comm&Mgmt,46.0,49.2,46.0,1,Sci&Tech
107,530278,16,3,3,1,3,0,0,1,0,,,,,,5,3,3,1,1,5,2,89,97,48,87,74,14,68.16666667,Comm&Mgmt,82.0,64.0,82.0,0,Comm&Mgmt
108,530279,15,4,4,4,4,0,0,1,1,,,,,,1,3,5,3,5,1,6,92,19,77,4,62,36,48.33333333,Comm&Mgmt,73.0,79.0,73.0,0,Comm&Mgmt
109,530280,16,4,4,1,3,0,0,1,1,,,,,,5,4,5,1,1,4,4,77,65,19,94,20,44,53.16666667,Comm&Mgmt,58.0,70.0,58.0,1,Arts
110,530281,15,4,4,1,1,0,0,0,0,,,,,,5,5,3,1,1,4,6,62,85,73,33,34,30,52.83333333,Comm&Mgmt,58.0,61.0,58.0,1,Comm&Mgmt
111,530282,16,3,3,1,3,1,1,1,0,,,,,,4,1,2,1,1,2,0,70,0,49,54,59,28,43.33333333,Comm&Mgmt,69.6,68.4,69.6,0,Comm&Mgmt
112,530283,16,2,2,1,2,1,1,0,0,,,,,,3,1,2,1,1,5,6,92,92,94,20,95,18,68.5,Comm&Mgmt,47.0,55.0,47.0,1,Sci&Tech
113,530284,15,4,2,1,1,0,0,0,0,,,,,,3,5,2,1,1,3,10,90,49,88,60,38,12,56.16666667,Comm&Mgmt,77.0,87.0,77.0,0,Comm&Mgmt
114,530285,15,2,1,1,2,0,0,0,0,,,,,,5,4,2,1,1,5,8,29,48,74,93,35,22,50.16666667,Comm&Mgmt,62.0,47.0,62.0,0,Comm&Mgmt
115,530286,16,4,4,1,2,0,0,1,0,,,,,,5,4,4,1,2,5,2,87,49,35,73,81,4,54.83333333,Comm&Mgmt,65.0,75.0,65.0,0,Comm&Mgmt
116,530287,15,4,4,2,2,0,0,1,0,,,,,,4,4,3,1,1,2,2,60,1,15,37,31,72,36.0,Comm&Mgmt,63.0,66.2,63.0,0,Comm&Mgmt
117,530288,16,3,3,2,1,0,0,0,0,,,,,,5,4,2,1,1,5,0,15,13,11,13,37,20,84.0,Sci&Tech,55.0,67.0,55.0,1,Arts
118,530289,17,1,3,3,2,1,0,1,0,,,,,,5,2,4,1,4,5,20,44,35,98,34,8,53,45.33333333,Comm&Mgmt,63.0,66.0,63.0,0,Comm&Mgmt
119,530290,15,3,4,1,1,0,0,0,0,,,,,,3,4,3,1,2,4,6,53,40,60,52,39,20,44.0,Comm&Mgmt,60.0,67.0,60.0,0,Comm&Mgmt
120,530291,15,1,2,1,2,0,0,0,0,,,,,,3,2,3,1,2,1,2,61,70,86,59,91,80,74.5,Sci&Tech,62.0,65.0,62.0,0,Sci&Tech
121,530292,15,2,2,1,4,0,0,1,1,,,,,,5,5,4,1,2,5,6,85,13,40,18,17,35,34.66666667,Comm&Mgmt,79.0,76.0,79.0,0,Comm&Mgmt
122,530293,16,2,4,2,2,0,0,1,1,,,,,,4,2,2,1,2,5,2,92,3,69,39,31,25,43.16666667,Comm&Mgmt,69.8,60.8,69.8,0,Comm&Mgmt
123,530294,16,4,4,1,1,0,0,1,0,,,,,,3,4,4,1,4,5,18,19,41,14,98,68,67,51.16666667,Comm&Mgmt,77.4,60.0,77.4,0,Comm&Mgmt
124,530295,16,2,2,1,2,0,0,0,1,,,,,,5,4,4,1,1,5,0,18,35,70,90,82,96,65.16666667,Comm&Mgmt,76.5,97.7,76.5,0,Comm&Mgmt
125,530296,15,3,4,1,1,0,1,0,0,,,,,,5,5,5,3,2,5,0,12,35,37,32,70,66,42.0,Comm&Mgmt,52.58,54.6,52.58,1,Comm&Mgmt
126,530297,15,3,4,1,2,0,1,0,0,,,,,,5,3,2,1,1,1,0,36,72,88,74,70,59,66.5,Comm&Mgmt,71.0,79.0,71.0,0,Comm&Mgmt
127,530298,19,0,1,1,2,3,0,1,0,,,,,,3,4,2,1,1,5,2,33,92,14,54,12,41,41.0,Comm&Mgmt,63.0,67.0,63.0,0,Comm&Mgmt
128,530299,18,2,2,1,1,2,0,1,0,,,,,,3,3,3,1,2,4,0,41,85,45,99,45,95,68.33333333,Comm&Mgmt,76.76,76.5,76.76,0,Comm&Mgmt
129,530300,16,4,4,1,1,0,0,0,1,,,,,,3,5,5,2,5,4,8,28,45,30,14,88,58,43.83333333,Comm&Mgmt,62.0,67.0,62.0,0,Comm&Mgmt
130,530301,15,3,4,2,3,2,0,1,0,,,,,,4,2,2,2,2,5,0,26,32,8,19,70,55,35.0,Comm&Mgmt,64.0,73.5,64.0,0,Comm&Mgmt
131,530302,15,1,1,3,1,0,0,1,0,,,,,,4,3,3,1,2,4,0,81,61,90,20,56,46,59.0,Comm&Mgmt,67.0,53.0,67.0,0,Comm&Mgmt
132,530303,17,2,2,1,1,0,0,1,0,,,,,,3,4,4,1,3,5,12,72,82,92,63,85,30,70.66666667,Comm&Mgmt,61.0,81.0,61.0,0,Comm&Mgmt
133,530304,16,3,4,1,1,0,0,0,0,,,,,,3,2,1,1,4,5,16,81,74,16,30,70,40,51.83333333,Comm&Mgmt,87.0,65.0,87.0,0,Comm&Mgmt
134,530305,15,3,4,4,2,0,0,1,0,,,,,,5,3,3,1,1,5,0,97,96,96,39,93,91,85.33333333,Sci&Tech,62.0,51.0,62.0,0,Sci&Tech
135,530306,15,4,4,1,3,0,0,1,0,,,,,,4,3,3,1,1,5,0,96,49,52,84,8,28,52.83333333,Comm&Mgmt,69.0,78.0,69.0,0,Comm&Mgmt
136,530307,17,3,4,3,2,0,0,0,0,,,,,,5,4,5,2,4,5,0,71,34,85,94,8,3,49.16666667,Comm&Mgmt,51.0,44.0,51.0,1,Sci&Tech
137,530308,16,3,3,2,1,2,0,1,0,,,,,,4,3,2,1,1,5,0,80,6,25,68,51,11,40.16666667,Comm&Mgmt,79.0,76.0,79.0,0,Comm&Mgmt
138,530309,16,1,1,1,2,1,0,0,0,,,,,,4,4,4,1,3,5,0,53,83,54,98,74,97,76.5,Sci&Tech,73.0,58.0,73.0,0,Sci&Tech
139,530310,15,4,4,2,1,0,0,0,0,,,,,,4,3,2,1,1,5,0,11,56,80,40,60,58,50.83333333,Comm&Mgmt,81.0,68.0,81.0,0,Comm&Mgmt
140,530311,15,4,3,2,4,0,1,1,0,,,,,,2,2,2,1,1,3,0,29,21,14,70,71,48,84.0,Sci&Tech,48.0,77.0,78.0,1,Arts
141,530312,16,2,2,2,1,2,0,1,0,,,,,,2,3,3,2,2,2,8,19,52,22,81,86,56,52.66666667,Comm&Mgmt,74.0,63.16,74.0,0,Comm&Mgmt
142,530313,15,4,4,1,3,0,0,1,1,,,,,,4,2,2,1,1,5,2,50,58,87,69,59,21,58.0,Comm&Mgmt,49.0,39.0,49.0,1,Comm&Mgmt
143,530314,16,1,1,1,1,0,0,0,0,,,,,,3,4,4,3,3,1,2,56,85,34,99,65,98,72.83333333,Comm&Mgmt,87.0,87.0,87.0,0,Comm&Mgmt
144,530315,17,2,1,1,1,3,0,1,0,,,,,,5,4,5,1,2,5,0,84,91,94,47,87,33,72.66666667,Comm&Mgmt,47.0,73.0,77.0,1,Sci&Tech
145,530316,15,1,1,1,2,0,0,1,1,,,,,,4,4,2,1,2,5,0,26,53,44,50,32,23,38.0,Comm&Mgmt,76.0,64.0,76.0,0,Comm&Mgmt
146,530317,15,3,2,1,2,3,0,1,0,,,,,,3,3,2,1,1,3,0,70,63,59,25,56,62,55.83333333,Comm&Mgmt,70.89,71.98,70.89,0,Comm&Mgmt
147,530318,15,1,2,1,2,0,0,1,1,,,,,,4,3,2,1,1,5,2,63,16,15,24,62,62,40.33333333,Comm&Mgmt,63.0,60.0,63.0,0,Comm&Mgmt
